千葉県がんセンター,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団福寿会 鷲見医院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人緑栄会 三愛記念そが病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
千葉市 千葉市立青葉病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
クリニックあしたば,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団誠馨会 千葉メディカルセンター,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団 大樹 大賀医院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
一般社団法人 巨樹の会 千葉みなとリハビリテーション病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
独立行政法人国立病院機構 千葉医療センター,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
国立大学法人 千葉大学医学部附属病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
独立行政法人国立病院機構 千葉東病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団翠明会 山王病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
国立研究開発法人 量子科学技術研究開発機構 QST病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
清和園多部田診療所,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団創進会 みつわ台総合病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
社会福祉法人千葉県身体障害者福祉事業団 千葉県千葉リハビリテーションセンター,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
千葉県こども病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
しののめ元山医院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団圭恵会 すずらんクリニック,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
独立行政法人国立病院機構 下総精神医療センター,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
千葉市休日救急診療所,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団 千葉白報会 総合クリニック ドクターランド幕張,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団究美会 肌と歯のクリニック 東京ベイ幕張,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人財団みさき会 たむら記念病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
東京歯科大学市川総合病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団 瑞鶴会 鶴木クリニック医科・歯科,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
タムス市川リハビリテーション病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
国立研究開発法人国立国際医療研究センター国府台病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
独立行政法人地域医療機能推進機構船橋中央病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人同和会 千葉病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
芝山医科歯科クリニック,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団三松会 さくらクリニック,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団誠馨会 セコメディック病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
いけだハートクリニック 船橋駅前診療所,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
船橋市立医療センター,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団千葉白報会 総合クリニック ドクターランド船橋,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団慈善会 ぜんり歯科内科クリニック,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団協和会 滝不動病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人鉄蕉会 亀田ファミリークリニック館山,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人沖縄徳洲会 館山病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
国保直営総合病院 君津中央病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団志仁会 薬丸病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
日本大学松戸歯学部付属病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団慈朋会 金子医院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人沖縄徳洲会 千葉西総合病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
松戸市立総合医療センター,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団真療会 野田病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団天榮会 茂原機能クリニック,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団 剛裕会 須田外科・歯科医院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
医療法人社団聖母会 聖マリア記念病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
日本赤十字社 成田赤十字病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
成田病院,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
成田市急病診療所,-1,-1,10000,名詞,固有名詞,*,*,*,*,*,*,*
